ID,Entry,Sectors_Pred_0.2,Subpillars_2D_Pred_0.2,Subpillars_1D_Pred_0.2,Demographic_Groups_Pred_0.2,Specific_Needs_Groups_Pred_0.2,Severity_Pred_0.2,Geo_Pred_0.2,Reliability_Pred_0.2,Affected_Groups_Pred_0.2,Sectors_Wrong_Pred_0.2,Subpillars_2D_Wrong_Pred_0.2,Subpillars_1D_Wrong_Pred_0.2,Demographic_Groups_Wrong_Pred_0.2,Specific_Needs_Groups_Wrong_Pred_0.2,Severity_Wrong_Pred_0.2,Geo_Wrong_Pred_0.2,Reliability_Wrong_Pred_0.2,Affected_Groups_Wrong_Pred_0.2,Sectors_Mis_Pred_0.2,Subpillars_2D_Mis_Pred_0.2,Subpillars_1D_Mis_Pred_0.2,Demographic_Groups_Mis_Pred_0.2,Specific_Needs_Groups_Mis_Pred_0.2,Severity_Mis_Pred_0.2,Geo_Mis_Pred_0.2,Reliability_Mis_Pred_0.2,Affected_Groups_Mis_Pred_0.2,Sectors_GT,Subpillars_2D_GT,Subpillars_1D_GT,Demographic_Groups_GT,Specific_Needs_Groups_GT,Severity_GT,Geo_GT,Reliability_GT,Affected_Groups_GT
e9a849b2-2022-11ec-8c1e-0242ac110002," Since 2019, UNHCR has continued to engage with the refugee and host communities to increase awareness on social cohesion and enhance peaceful coexistence, with over 5,000 individuals attending events during 2021.",['Cross'],['Capacities & Response->International Response'],[],['Children/Youth Unspecified gender (5 to 17 years old)'],[],[],['Camp'],[],[],[],[],[],['Children/Youth Unspecified gender (5 to 17 years old)'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cross'],['Capacities & Response->International Response'],[],[],[],[],['Camp'],[],[]
ae19902a-1cff-11ec-8ab7-0242ac110002,"Social Cohesion: Since 2019, UNHCR has continued to engage with the refugee and host communities to increase awareness on social cohesion and enhance peaceful coexistence, with over 5,000 individuals attending events during 2021.

In line with Government directives to mitigate the spread of COVID-19, humanitarian partners were required to reduce the scale of activities conducted in the camps and host communities. This reduced footprint seriously impacted the implementation of planned activities. Home gardening activities in the camp, which are season-dependent, were hampered and delayed due to such restrictions, also resulting in the suspension of operation of production centres. This left refugee volunteers without an income, while the level of self-reliance attained by livelihood programme participants has deteriorated.

Way Forward UNHCR continues to advocate with the Government to ensure continued humanitarian access to all areas and vital protection and assistance services, including refugee self-reliance activities. Meanwhile, UNHCR is in the process of developing a project to support adolescents and youths to develop skills required within the camps which is anticipated to start at the end of this year. For the remainder of 2021, depending on the COVID-19 situation, several events related to ongoing interventions are planned, including the organization of trainings in the camps.","['Agriculture', 'Cross', 'Livelihoods']",[],[],['Children/Youth Unspecified gender (5 to 17 years old)'],[],[],['Camp'],[],[],[],[],[],['Children/Youth Unspecified gender (5 to 17 years old)'],[],[],[],[],"['Affected', 'Displaced']",[],"['Capacities & Response->International Response', 'Impact->Driver/Aggravating Factors', 'Impact->Impact On People', 'Impact->Impact On Systems, Services And Networks']",[],[],[],[],[],[],[],"['Agriculture', 'Cross', 'Livelihoods']","['Capacities & Response->International Response', 'Impact->Driver/Aggravating Factors', 'Impact->Impact On People', 'Impact->Impact On Systems, Services And Networks']",[],[],[],[],['Camp'],[],[]
0cc78572-1f5e-11ec-8280-0242ac110002,"Some 625 young women aged 18-24 have earned an income through producing tote (jute) bags to sell to organisations working in the camps or supply to UNHCR. The women also produce menstrual hygiene materials such as sanitary pads, underwear, soap, as well as embroidery cloth.","['Livelihoods', 'WASH']",['Capacities & Response->International Response'],['Context->Demography'],"['Adult Female (18 to 59 years old)', 'Children/Youth Female (5 to 17 years old)']",['Pregnant or Lactating Women'],[],['Camp'],[],[],[],[],[],[],['Pregnant or Lactating Women'],[],[],[],"['Affected', 'Displaced']",[],['Humanitarian Conditions->Living Standards'],[],[],[],[],[],[],[],"['Livelihoods', 'WASH']","['Capacities & Response->International Response', 'Humanitarian Conditions->Living Standards']",['Context->Demography'],"['Adult Female (18 to 59 years old)', 'Children/Youth Female (5 to 17 years old)']",[],[],['Camp'],[],[]
b208ceba-201c-11ec-a210-0242ac110002,"Some 625 young women aged 18-24 have earned an income through producing tote (jute) bags to sell to organisations working in the camps or supply to UNHCR. The women also produce menstrual hygiene materials such as sanitary pads, underwear, soap, as well as embroidery cloth.","['Livelihoods', 'WASH']",['Capacities & Response->International Response'],['Context->Demography'],"['Adult Female (18 to 59 years old)', 'Children/Youth Female (5 to 17 years old)']",['Pregnant or Lactating Women'],[],['Camp'],[],[],[],[],[],[],[],[],[],[],"['Affected', 'Displaced']",[],['Humanitarian Conditions->Living Standards'],[],[],[],[],[],[],[],"['Livelihoods', 'WASH']","['Capacities & Response->International Response', 'Humanitarian Conditions->Living Standards']",['Context->Demography'],"['Adult Female (18 to 59 years old)', 'Children/Youth Female (5 to 17 years old)']",['Pregnant or Lactating Women'],[],['Camp'],[],[]
babd8926-1ade-11ec-bead-0242ac110002,"Figure 10: OCV vaccination status among RDT Positive and Culture Confirmed Cases among refugees

Figure 11: Acute Watery Diarrhea Isolation & Diarrhea Treatment Center Bed Capacity Mapping, as of 1 July 2021.

Throughout the camps, CHWs have reinforced community engagement activities through weekly visits to every household in the camps. This includes community- based surveillance; health education on hygiene promotion and prevention of AWD through house to house visits and small group sessions and active finding of cases with AWD and subsequent referrals to health facilities. Specific emphasis is being placed on “target camps”.

In 2020, a total of 28 RDT positive cases for Cholera were detected through sentinel testing, 5 of which were confirmed by culture – 2 from Ukhiya host community, 1 from Teknaf host community and 2 from the refugee camps. It is important to note that a Cholera outbreak occurred in late 2019 with a reported number of 239 RDT/ culture positive cases and in response a mass Oral Cholera Vaccine (OCV) vaccina- tion campaign was conducted with over 160 000 children of 1-<5 years being vac- Figure 12: Dehydration status of admitted cases reported cinated with a 2- doses regimen. from Leda DTC and other health facilities with isolation Since the onset of the outbreak in 2017, Diphtheria surveillance is ongoing in the camps. The total number of diphtheria cases reported is 9299 to date (3016 in 2017; 5330 in 2018; 614 in 2019; 226 in 2020 and 113 as of week 34, 2021). In total, 9053 cases were reported in the camps and 246 from the host community, with 47 deaths registered in the refu- gee camps and none in the host community. While the first Diphtheria case was detected on 10 November 2017, the first death occurred on 29 December 2017 and the last death on 25 October 2019.

Figure 13: Total number of diphtheria case reported in EWARS from 2020-2021",['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],[],['Children/Youth Unspecified gender (5 to 17 years old)'],['Chronically Ill'],['Major'],"['250 Bed District Sadar Hospital', 'Cholera', 'Diphtheria', 'RDT', 'RDT/', 'Teknaf', 'Ukhiya']",[],[],[],[],[],['Children/Youth Unspecified gender (5 to 17 years old)'],['Chronically Ill'],['Major'],"['250 Bed District Sadar Hospital', 'Cholera', 'Diphtheria', 'RDT', 'RDT/']",[],"['Affected', 'Displaced']",[],['Capacities & Response->National Response'],['Casualties->Dead'],['Infants/Toddlers (<5 years old)'],[],['Critical'],[],[],['Host'],['Health'],"['Capacities & Response->National Response', 'Humanitarian Conditions->Physical And Mental Well Being']",['Casualties->Dead'],['Infants/Toddlers (<5 years old)'],[],['Critical'],"['Teknaf', 'Ukhiya']",[],['Host']
c2e5b05c-1c36-11ec-93f4-0242ac110002,"In 2020, a total of 28 RDT positive cases for Cholera were detected through sentinel testing, 5 of which were confirmed by culture – 2 from Ukhiya host community, 1 from Teknaf host community and 2 from the refugee camps. ",['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],['Casualties->Dead'],['Children/Youth Unspecified gender (5 to 17 years old)'],['Indigenous people'],['Major'],"['250 Bed District Sadar Hospital', 'RDT', 'Teknaf', 'Ukhiya']",[],[],[],[],['Casualties->Dead'],['Children/Youth Unspecified gender (5 to 17 years old)'],['Indigenous people'],[],"['250 Bed District Sadar Hospital', 'RDT']",[],"['Affected', 'Displaced', 'Non Displaced']",[],[],[],[],[],[],[],[],[],['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],[],[],[],['Major'],"['Teknaf', 'Ukhiya']",[],[]
88b3900c-1aab-11ec-acff-0242ac110002,"As of 15 August 2021, a total of 15 778 individuals from the host community in Cox’s Bazar district have tested positive for COVID-19: 1199 in Cho- koria,238 in Kutubdia, 1027 in Moheshkhali, 563 in Pekua, 951 in Ramu, 6819 in Sadar, 2308 in Teknaf and 2 673 in Ukhiya.",['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],['Casualties->Dead'],[],[],['Of Concern'],"['250 Bed District Sadar Hospital', 'Cox Bazar', 'Kutubdia', 'Moheshkhali', 'Pekua', 'Ramu', 'Sadar', 'Teknaf', 'Ukhiya']",[],[],[],[],['Casualties->Dead'],[],[],[],['250 Bed District Sadar Hospital'],[],"['Affected', 'Displaced', 'Non Displaced']",[],[],[],[],[],[],[],[],[],['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],[],[],[],['Of Concern'],"['Cox Bazar', 'Kutubdia', 'Moheshkhali', 'Pekua', 'Ramu', 'Sadar', 'Teknaf', 'Ukhiya']",[],[]
b45e6170-1adb-11ec-93ee-0242ac110002,"During the reporting period, feedback from Health Sector partners is being incorporated into the ‘General Health Card’. In the coming weeks, the final draft with an operationalization SOP will be submitted to RRRC and Civil Surgeon for review and endorsement. Following the endorsement, this card will be initially piloted prior to further roll out.

The updated Health Facility Gap Analysis has been shared with health partners: this document helps the interested partners to plan for establishing new health facilities as per the need of respective camps. Currently, some organizations are going though transitions in pro- gramming and funding and a change in the landscape is expected in the coming weeks and months.

During the reporting weeks, a total of 12 camp-level Health Sector Coordination Meetings were held (maintaining precautions against COVID-19). Strengthening COVID-19 and monsoon response was addressed among different working group partners. In addition, Rapid Investigation and Response Team (RIRT) coordination meetings are ongoing in the camps to strengthen the COVID-19 enhanced surveil-

WHO continues to provide epidemiological data to support operational decision making for the COVID-19 response in Cox’s Bazar. As of 29 August 2021, a total of 16 548 individuals from the host community in Cox’s Bazar district have tested positive for COVID-19: 1247 in Cho- koria, 250 in Kutubdia, 1078 in Moheshkhali, 595 in Pekua, 974 in Ramu, 7080 in Sadar, 2519 in Teknaf and 2 805 in Ukhiya.",['Health'],['Capacities & Response->International Response'],['Context->Legal & Policy'],[],[],[],"['250 Bed District Sadar Hospital', 'Cox Bazar', 'Kutubdia', 'Moheshkhali', 'Pekua', 'Ramu', 'Sadar', 'Teknaf', 'Ukhiya']",[],[],[],[],['Context->Legal & Policy'],[],[],[],['250 Bed District Sadar Hospital'],[],"['Affected', 'Displaced']",[],['Humanitarian Conditions->Physical And Mental Well Being'],[],[],[],[],[],[],['Host'],['Health'],"['Capacities & Response->International Response', 'Humanitarian Conditions->Physical And Mental Well Being']",[],[],[],[],"['Cox Bazar', 'Kutubdia', 'Moheshkhali', 'Pekua', 'Ramu', 'Sadar', 'Teknaf', 'Ukhiya']",[],['Host']
9988bf28-16ba-11ec-bff6-0242ac110002,"Refugee volunteers repair a bridge following the heavy monsoon rains in July. Bangladesh continued to see a significant increase in COVID-19 positive cases in July. As of 31 July, 2,451 COVID-19 cases, and 27 COVID-19 deaths were confirmed in the camps. Worryingly, more than 1,800 of these cases were recorded since May 2021, representing over 70 percent of total cases reported since the pandemic began in March 2020.

The humanitarian community is extremely grateful to the Government of Bangladesh for the inclusion of the Rohingya refugees in the COVID-19 national vaccination plan. The vaccination of Rohingya refugees will start on 10 August and will initially include refugees over 55 years of age. Altogether, it is planned that over 48,000 of the nearly 900,000 refugees will be vaccinated in the first cohort. Preparations for the roll out of the vaccination campaign are in advanced",['Health'],['Humanitarian Conditions->Physical And Mental Well Being'],['Casualties->Dead'],['Older Persons Unspecified gender (60+ years old)'],[],['Of Concern'],"['Bangladesh', 'Rohingya refugees']",[],[],[],[],[],['Older Persons Unspecified gender (60+ years old)'],[],['Of Concern'],['Rohingya refugees'],[],"['Affected', 'Displaced']",[],['Priority Interventions->Expressed By Population'],[],[],[],['Critical'],[],[],[],['Health'],"['Humanitarian Conditions->Physical And Mental Well Being', 'Priority Interventions->Expressed By Population']",['Casualties->Dead'],[],[],['Critical'],['Bangladesh'],[],[]
2800f28e-1aa8-11ec-863c-0242ac110002,"The first round of COVID-19 vaccination campaign for Rohingya refugees/FDMN aged 55 years and older started on 10 August 2021 and is currently ongoing. The campaign will be followed by mop-up days, to be confirmed by Government authorities.",['Health'],['Capacities & Response->International Response'],['Context->Demography'],['Older Persons Unspecified gender (60+ years old)'],[],[],['250 Bed District Sadar Hospital'],[],[],[],[],['Context->Demography'],[],[],[],['250 Bed District Sadar Hospital'],[],"['Affected', 'Migrants']",[],[],[],[],[],[],[],[],[],['Health'],['Capacities & Response->International Response'],[],['Older Persons Unspecified gender (60+ years old)'],[],[],[],[],[]
