entry_id,excerpt,paragraph,period
606436,"These figures only include those apprehended and rescued by the TCG, while the actual number of migrants and refugees departing Türkiye by sea may be higher.",affected groups->[General Overview],july_second_week
615506,"According to United Nations estimates, by the end of 2015 there were 2,503, 549 registered Syrian refugees in Turkey.",affected groups->[General Overview],july_second_week
606433,"However, 5,964 fewer Syrians currently reside in the centers compared to previous year.",affected groups->[General Overview],july_second_week
615506,"Turkey currently hosts over 3 million Syrian refugees, more than other neighbouring countries and has spent over 7 billion euros since the beginning of the Syrian crisis.",affected groups->[General Overview],july_second_week
606436,"Comparing to June 2021, there is an increase of 3,008 apprehended individuals, when 1,651 irregular migrants were recorded.",affected groups->[General Overview],july_second_week
606436,Apprehensions at the so-called ‘hotspots’ on the Aegean Sea are shown in the map (left).,affected groups->[General Overview],july_second_week
605269,"According to the Turkish DHA news agency, Catakli also told reporters that the number of ""Syrians returning to their country is 509,791, while the number of Syrians registered in Turkey as of today is 3,648,983.""",affected groups->[General Overview],july_second_week
605272,"Child dies near Turkey's border: In addition to nearly 3.7 million Syrian refugees currently living in Turkey, there are also up to half a million Afghan migrants and refugees in the country, dpa reported.",affected groups->[General Overview],july_second_week
606430,"Moreover, according to UNHCR**, there are close to 330,000 international protection status holders and asylum-seekers.",affected groups->[General Overview],july_second_week
606436,Apprehensions at the so-called ‘hotspots’ on the Aegean Sea are shown in the map (left).,affected groups->[General Overview],july_second_week
615506,"According to United Nations estimates, by the end of 2015 there were 2,503, 549 registered Syrian refugees in Turkey.",affected groups->[General Overview],july_second_week
606430,"According to the latest available figures from the Turkish Presidency of Migration Management (PMM), there are more than 5.1* million foreign nationals present in Turkish territory, 3.6* million of whom are seeking international protection.",affected groups->[General Overview],july_second_week
608173,"Over 700,000 Syrians were born in Turkey a decade into the start of the war in the neighbouring country, Turkish Interior Minister Süleyman Soylu said on Sunday.",affected groups->[General Overview],july_second_week
615308,"The DGMM Web does not distinguish the asylum applicants and recognized refugees (including refugees, conditional refugees and beneficiaries of the subsidiary protection).",affected groups->[General Overview],july_second_week
615307,"Despite the fact that the category of Subsidiary protection was thought of to provide a legal basis for Afghan refugees during their estimated long stay, in practice this type of international protection has been so far granted only to five or six persons.",affected groups->['Refugees (temporary protection)'],july_second_week
615502,"For groups of refugees like Afghans and Africans who would normally be considered as beneficiaries of the Subsidiary protection, such a status has not been granted.",affected groups->['Refugees (temporary protection)'],july_second_week
615502,"Article 44 or the Temporary Protection Regulation also foreseen the travel of foreigners to a third country, subjecting this temporary or permanent permission to persons under temporary protection to the DGMM.",affected groups->['Refugees (temporary protection)'],july_second_week
615307,Tens of thousands of Afghans and Africans are most probably considered by the authorities as “applicants”.,affected groups->['Refugees (temporary protection)'],july_second_week
615502,Instead they remain in a juridical limbo as “applicant whose RSD process is frozen”.,affected groups->['Refugees (temporary protection)'],july_second_week
616435,"The travel costs to these centres seem to be a problem for urban refugees, which is why the International Organization for Migration [IOM] is providing transportation to school for urban refugees in some areas.",sectors->['Education'],july_second_week
616433,"An alternative option for children of Syrian refugees, besides public schools, is to enrol into Temporary Education Centres (TECs), which are available in urban areas and in some refugee camps.",sectors->['Education'],july_second_week
613241,"As suggested by the title of this provision, the intention was that this Article be applicable only to education provided by public authorities which is funded or subsidized by public funds, at the exclusion of private schools.",sectors->['Education'],july_second_week
616428,Girls constitute 50.4 percent of the Syrian students.,sectors->['Education'],july_second_week
