Original first level,Original second level,Original third level,NLP Type,NLP first level,NLP second level,NLP third level,NLP fourth level,mapped_nlp
casualties,dead,,1D,Casualties,Dead,,,"['subpillars_1d->Casualties->Dead', 'first_level_tags->pillars_1d->Casualties']"
casualties,death,,1D,Casualties,Dead,,,"['subpillars_1d->Casualties->Dead', 'first_level_tags->pillars_1d->Casualties']"
casualties/caseloads,fatalities,,1D,Casualties,Dead,,,"['subpillars_1d->Casualties->Dead', 'first_level_tags->pillars_1d->Casualties']"
casualties,injured,,1D,Casualties,Injured,,,"['subpillars_1d->Casualties->Injured', 'first_level_tags->pillars_1d->Casualties']"
casualties/caseloads,injured,,1D,Casualties,Injured,,,"['subpillars_1d->Casualties->Injured', 'first_level_tags->pillars_1d->Casualties']"
casualties,missing,,1D,Casualties,Missing,,,"['subpillars_1d->Casualties->Missing', 'first_level_tags->pillars_1d->Casualties']"
casualties/caseloads,missing,,1D,Casualties,Missing,,,"['subpillars_1d->Casualties->Missing', 'first_level_tags->pillars_1d->Casualties']"
casualties/caseloads,confirmed cases,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
casualties/caseloads,unconfirmed cases,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
conflict,casualties & missings,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
displacement,casualties,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
humanitarian profile,casualties,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
humanitarian profile,casualties or injured,,1D,Casualties,,,,['first_level_tags->pillars_1d->Casualties']
estadísticas de nacimientos y defunciones,,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
proyecciones de población,,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
context,demographic,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
context,demographics,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
context,demography,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
contexto,demografía,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
demographic and social context,"population breakdown by age, sex, disability",,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
demographic and social context,urban and rural population,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
demographic and social context,children/adolescents/youth,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
demographic profile,socioeconomic profile,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
fecundidad de los migrantes,,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
género,,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
mortalidad de los migrantes,,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
nacionalidad,colombia,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
nacionalidad,ecuador,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
nacionalidad,otra,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
nacionalidad,venezuela,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
perfil de la población,perfil demográfico,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
population profile,basic demographics,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
population profile,demographic profile,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
socioeconomic and demographic environment,demographic characteristics,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
socioeconomic and demographic environment,gender,,1D,Context,Demography,,,"['subpillars_1d->Context->Demography', 'first_level_tags->pillars_1d->Context']"
context,economic,,1D,Context,Economy,,,"['subpillars_1d->Context->Economy', 'first_level_tags->pillars_1d->Context']"
